model,trial_number,hits@1,hits@3,hits@5,hits@10
TransH,78,0.0119760479041916,0.0179640718562874,0.0269461077844311,0.0389221556886227
TransH,79,0.0389221556886227,0.1077844311377245,0.18562874251497,0.2215568862275449
TransH,80,0.0089820359281437,0.0958083832335329,0.1706586826347305,0.2514970059880239
TransH,81,0.0359281437125748,0.1287425149700598,0.1766467065868263,0.2065868263473053
TransH,82,0.0,0.0119760479041916,0.0449101796407185,0.0868263473053892
TransH,83,0.0,0.0479041916167664,0.0778443113772455,0.1137724550898203
TransH,84,0.0,0.0029940119760479,0.0029940119760479,0.0089820359281437
TransH,85,0.0,0.0,0.0029940119760479,0.0089820359281437
TransH,86,0.0059880239520958,0.0059880239520958,0.0089820359281437,0.0179640718562874
TransH,87,0.029940119760479,0.122754491017964,0.18562874251497,0.281437125748503
TransH,88,0.0508982035928143,0.1167664670658682,0.1646706586826347,0.2035928143712574
TransH,89,0.0179640718562874,0.0269461077844311,0.0389221556886227,0.059880239520958
TransH,90,0.029940119760479,0.1317365269461078,0.2305389221556886,0.3323353293413174
TransH,91,0.0568862275449101,0.1137724550898203,0.1437125748502994,0.2035928143712574
TransH,92,0.0,0.0568862275449101,0.1017964071856287,0.1676646706586826
TransH,93,0.0628742514970059,0.1526946107784431,0.1646706586826347,0.2035928143712574
TransH,94,0.0,0.0059880239520958,0.0179640718562874,0.0329341317365269
TransH,95,0.0419161676646706,0.122754491017964,0.2065868263473053,0.2694610778443114
TransH,96,0.0,0.0688622754491018,0.1287425149700598,0.2125748502994012
TransH,97,0.0179640718562874,0.0778443113772455,0.1197604790419161,0.1616766467065868
TransH,98,0.0149700598802395,0.0269461077844311,0.0329341317365269,0.0419161676646706
TransH,99,0.0359281437125748,0.059880239520958,0.0748502994011976,0.1107784431137724
DistMult,0,0.2155688622754491,0.344311377245509,0.4610778443113772,0.5658682634730539
DistMult,1,0.122754491017964,0.2305389221556886,0.2844311377245509,0.4311377245508982
DistMult,2,0.0,0.0029940119760479,0.0059880239520958,0.0119760479041916
DistMult,3,0.0958083832335329,0.1616766467065868,0.2395209580838323,0.3922155688622754
DistMult,4,0.0029940119760479,0.0059880239520958,0.0059880239520958,0.0119760479041916
DistMult,5,0.0,0.0059880239520958,0.0119760479041916,0.0269461077844311
DistMult,6,0.0059880239520958,0.0059880239520958,0.0089820359281437,0.0209580838323353
DistMult,7,0.2125748502994012,0.3652694610778443,0.4311377245508982,0.5089820359281437
DistMult,8,0.1377245508982036,0.1736526946107784,0.1766467065868263,0.18562874251497
DistMult,9,0.1826347305389221,0.2125748502994012,0.2574850299401197,0.2904191616766467
DistMult,10,0.0029940119760479,0.0059880239520958,0.0089820359281437,0.0149700598802395
DistMult,11,0.2664670658682634,0.3532934131736527,0.4101796407185629,0.4880239520958084
DistMult,12,0.0419161676646706,0.0628742514970059,0.0778443113772455,0.0958083832335329
DistMult,13,0.0658682634730539,0.0688622754491018,0.0778443113772455,0.0958083832335329
DistMult,14,0.0029940119760479,0.0059880239520958,0.0119760479041916,0.0149700598802395
DistMult,15,0.0359281437125748,0.0838323353293413,0.1107784431137724,0.1736526946107784
DistMult,16,0.0179640718562874,0.0239520958083832,0.0269461077844311,0.0419161676646706
DistMult,17,0.0119760479041916,0.029940119760479,0.0419161676646706,0.0479041916167664
DistMult,18,0.0119760479041916,0.0508982035928143,0.0868263473053892,0.1497005988023952
DistMult,19,0.0538922155688622,0.0868263473053892,0.1197604790419161,0.1586826347305389
DistMult,20,0.2904191616766467,0.4311377245508982,0.4940119760479042,0.5958083832335329
DistMult,21,0.2874251497005988,0.4341317365269461,0.5179640718562875,0.6197604790419161
DistMult,22,0.0,0.0179640718562874,0.0269461077844311,0.0359281437125748
DistMult,23,0.0,0.0059880239520958,0.0119760479041916,0.0239520958083832
DistMult,24,0.2874251497005988,0.4221556886227545,0.4820359281437126,0.5598802395209581
DistMult,25,0.0,0.0,0.0089820359281437,0.0119760479041916
DistMult,26,0.0329341317365269,0.0568862275449101,0.0628742514970059,0.0868263473053892
DistMult,27,0.0119760479041916,0.0419161676646706,0.0658682634730539,0.092814371257485
DistMult,28,0.0778443113772455,0.1437125748502994,0.155688622754491,0.2155688622754491
DistMult,29,0.0,0.0029940119760479,0.0059880239520958,0.0149700598802395
DistMult,30,0.3502994011976048,0.4431137724550898,0.5,0.562874251497006
DistMult,31,0.1257485029940119,0.1826347305389221,0.2155688622754491,0.2544910179640718
DistMult,32,0.1796407185628742,0.2664670658682634,0.2994011976047904,0.3532934131736527
DistMult,33,0.3293413173652694,0.4281437125748503,0.4610778443113772,0.5179640718562875
DistMult,34,0.0029940119760479,0.0149700598802395,0.0239520958083832,0.0389221556886227
DistMult,35,0.0,0.0059880239520958,0.0059880239520958,0.0149700598802395
DistMult,36,0.311377245508982,0.4161676646706587,0.4550898203592814,0.5119760479041916
DistMult,37,0.0658682634730539,0.1017964071856287,0.1257485029940119,0.1736526946107784
DistMult,38,0.0898203592814371,0.1586826347305389,0.1736526946107784,0.18562874251497
DistMult,39,0.0,0.0,0.0029940119760479,0.0239520958083832
DistMult,40,0.0029940119760479,0.0089820359281437,0.0119760479041916,0.0179640718562874
DistMult,41,0.3083832335329341,0.3832335329341317,0.4251497005988024,0.4790419161676646
DistMult,42,0.2934131736526946,0.3712574850299401,0.3982035928143712,0.4580838323353293
DistMult,43,0.0089820359281437,0.0119760479041916,0.0179640718562874,0.0239520958083832
DistMult,44,0.2215568862275449,0.3832335329341317,0.4580838323353293,0.5449101796407185
DistMult,45,0.0119760479041916,0.0239520958083832,0.0359281437125748,0.0688622754491018
DistMult,46,0.3173652694610778,0.4071856287425149,0.4401197604790419,0.5329341317365269
DistMult,47,0.0029940119760479,0.0059880239520958,0.0119760479041916,0.0209580838323353
DistMult,48,0.0,0.0029940119760479,0.0059880239520958,0.0089820359281437
DistMult,49,0.0029940119760479,0.0059880239520958,0.0059880239520958,0.0089820359281437
DistMult,50,0.0958083832335329,0.122754491017964,0.1377245508982036,0.1467065868263473
DistMult,51,0.3772455089820359,0.4401197604790419,0.4850299401197604,0.5958083832335329
DistMult,52,0.0898203592814371,0.1646706586826347,0.218562874251497,0.2874251497005988
DistMult,53,0.3682634730538922,0.4580838323353293,0.4880239520958084,0.5658682634730539
DistMult,54,0.0808383233532934,0.1796407185628742,0.2035928143712574,0.2455089820359281
DistMult,55,0.0658682634730539,0.2724550898203592,0.3413173652694611,0.4550898203592814
DistMult,56,0.1467065868263473,0.1826347305389221,0.2335329341317365,0.2874251497005988
DistMult,57,0.1077844311377245,0.1796407185628742,0.2365269461077844,0.3083832335329341
DistMult,58,0.0209580838323353,0.029940119760479,0.0419161676646706,0.0688622754491018
DistMult,59,0.0449101796407185,0.0628742514970059,0.0688622754491018,0.0868263473053892
DistMult,60,0.0658682634730539,0.092814371257485,0.1107784431137724,0.1377245508982036
DistMult,61,0.0,0.0029940119760479,0.0119760479041916,0.0179640718562874
DistMult,62,0.3383233532934132,0.4281437125748503,0.4610778443113772,0.5389221556886228
DistMult,63,0.248502994011976,0.3203592814371258,0.3652694610778443,0.4041916167664671
DistMult,64,0.2125748502994012,0.2904191616766467,0.3203592814371258,0.3772455089820359
DistMult,65,0.1197604790419161,0.2215568862275449,0.2724550898203592,0.3413173652694611
DistMult,66,0.0,0.0119760479041916,0.0359281437125748,0.0658682634730539
DistMult,67,0.0059880239520958,0.0239520958083832,0.0359281437125748,0.0538922155688622
DistMult,68,0.2664670658682634,0.3832335329341317,0.4251497005988024,0.5179640718562875
DistMult,69,0.0149700598802395,0.0269461077844311,0.0419161676646706,0.0508982035928143
DistMult,70,0.0658682634730539,0.1107784431137724,0.1437125748502994,0.1976047904191616
DistMult,71,0.2724550898203592,0.3622754491017964,0.3952095808383233,0.4461077844311377
DistMult,72,0.218562874251497,0.2754491017964072,0.2994011976047904,0.3532934131736527
DistMult,73,0.2694610778443114,0.3502994011976048,0.3832335329341317,0.4520958083832335
DistMult,74,0.0329341317365269,0.0538922155688622,0.0568862275449101,0.1047904191616766
DistMult,75,0.3383233532934132,0.4461077844311377,0.4820359281437126,0.5748502994011976
DistMult,76,0.0,0.0059880239520958,0.0059880239520958,0.0179640718562874
DistMult,77,0.0269461077844311,0.0389221556886227,0.0538922155688622,0.0718562874251497
DistMult,78,0.0089820359281437,0.0149700598802395,0.029940119760479,0.0419161676646706
DistMult,79,0.2035928143712574,0.2514970059880239,0.2994011976047904,0.3562874251497006
DistMult,80,0.0149700598802395,0.0389221556886227,0.0568862275449101,0.0868263473053892
DistMult,81,0.0389221556886227,0.0748502994011976,0.0958083832335329,0.1287425149700598
DistMult,82,0.2724550898203592,0.374251497005988,0.4101796407185629,0.4491017964071856
DistMult,83,0.3652694610778443,0.4431137724550898,0.4850299401197604,0.5988023952095808
DistMult,84,0.3592814371257485,0.4401197604790419,0.5,0.5808383233532934
DistMult,85,0.0449101796407185,0.0748502994011976,0.0958083832335329,0.1377245508982036
DistMult,86,0.155688622754491,0.248502994011976,0.278443113772455,0.3353293413173652
DistMult,87,0.0,0.0,0.0029940119760479,0.0149700598802395
DistMult,88,0.2604790419161676,0.3532934131736527,0.4011976047904191,0.4491017964071856
DistMult,89,0.0688622754491018,0.1197604790419161,0.1377245508982036,0.1796407185628742
DistMult,90,0.1257485029940119,0.1886227544910179,0.2455089820359281,0.3323353293413174
DistMult,91,0.3173652694610778,0.4401197604790419,0.5089820359281437,0.5808383233532934
