model,trial_number,hits@1,hits@3,hits@5,hits@10
TransH,30,0.0648148148148148,0.1415343915343915,0.1626984126984127,0.1666666666666666
TransH,31,0.0449735449735449,0.0992063492063492,0.1534391534391534,0.164021164021164
TransH,32,0.0674603174603174,0.1428571428571428,0.1653439153439153,0.1693121693121693
TransH,33,0.0,0.0026455026455026,0.0052910052910052,0.0052910052910052
TransH,34,0.0687830687830687,0.1375661375661375,0.1626984126984127,0.1666666666666666
TransH,35,0.0687830687830687,0.1441798941798941,0.1653439153439153,0.1693121693121693
TransH,36,0.0251322751322751,0.1111111111111111,0.156084656084656,0.1706349206349206
TransH,37,0.0423280423280423,0.0952380952380952,0.1521164021164021,0.1653439153439153
TransH,38,0.0,0.0066137566137566,0.0092592592592592,0.0238095238095238
TransH,39,0.0026455026455026,0.0277777777777777,0.0568783068783068,0.0833333333333333
TransH,40,0.0674603174603174,0.1441798941798941,0.164021164021164,0.167989417989418
TransH,41,0.0674603174603174,0.1441798941798941,0.1587301587301587,0.1693121693121693
TransH,42,0.0476190476190476,0.0806878306878306,0.0925925925925925,0.1164021164021164
TransH,43,0.0198412698412698,0.0621693121693121,0.0925925925925925,0.1269841269841269
TransH,44,0.0727513227513227,0.1349206349206349,0.1494708994708994,0.1626984126984127
TransH,45,0.0489417989417989,0.0568783068783068,0.0634920634920634,0.0687830687830687
TransH,46,0.0661375661375661,0.1441798941798941,0.1613756613756613,0.1666666666666666
TransH,47,0.0674603174603174,0.1507936507936507,0.1706349206349206,0.1759259259259259
TransH,48,0.0648148148148148,0.123015873015873,0.1574074074074074,0.1732804232804232
TransH,49,0.0,0.0145502645502645,0.0185185185185185,0.0383597883597883
TransH,50,0.0,0.0013227513227513,0.0026455026455026,0.0119047619047619
TransH,51,0.0291005291005291,0.1018518518518518,0.1441798941798941,0.1507936507936507
TransH,52,0.0013227513227513,0.0582010582010582,0.0833333333333333,0.1216931216931216
TransH,53,0.0,0.033068783068783,0.033068783068783,0.0396825396825396
TransH,54,0.0648148148148148,0.1084656084656084,0.1415343915343915,0.1507936507936507
TransH,55,0.0052910052910052,0.0145502645502645,0.0198412698412698,0.0277777777777777
TransH,56,0.0,0.1044973544973544,0.1349206349206349,0.167989417989418
TransH,57,0.0,0.0833333333333333,0.1097883597883597,0.1309523809523809
TransH,58,0.0608465608465608,0.1044973544973544,0.1507936507936507,0.1666666666666666
TransH,59,0.0661375661375661,0.1402116402116402,0.1613756613756613,0.1693121693121693
TransH,60,0.0251322751322751,0.1058201058201058,0.1507936507936507,0.1666666666666666
TransH,61,0.0661375661375661,0.1441798941798941,0.1666666666666666,0.167989417989418
TransH,62,0.0132275132275132,0.1031746031746031,0.1494708994708994,0.1653439153439153
TransH,63,0.0013227513227513,0.0013227513227513,0.0052910052910052,0.0105820105820105
TransH,64,0.0608465608465608,0.1269841269841269,0.1428571428571428,0.1481481481481481
TransH,65,0.0515873015873015,0.1018518518518518,0.156084656084656,0.1693121693121693
TransH,66,0.0687830687830687,0.1441798941798941,0.1719576719576719,0.1772486772486772
TransH,67,0.0701058201058201,0.1018518518518518,0.1164021164021164,0.1362433862433862
TransH,68,0.0701058201058201,0.1058201058201058,0.1203703703703703,0.1388888888888889
TransH,69,0.0582010582010582,0.0859788359788359,0.0912698412698412,0.0978835978835978
TransH,70,0.0489417989417989,0.0978835978835978,0.119047619047619,0.1309523809523809
TransH,71,0.0701058201058201,0.1071428571428571,0.115079365079365,0.1388888888888889
TransH,72,0.0674603174603174,0.1468253968253968,0.1666666666666666,0.1706349206349206
TransH,73,0.0648148148148148,0.1164021164021164,0.1494708994708994,0.1653439153439153
TransH,74,0.0648148148148148,0.1388888888888889,0.1587301587301587,0.1666666666666666
TransH,75,0.0,0.0833333333333333,0.0886243386243386,0.0952380952380952
TransH,76,0.0555555555555555,0.1428571428571428,0.1626984126984127,0.1626984126984127
TransH,77,0.0145502645502645,0.0238095238095238,0.0357142857142857,0.0476190476190476
TransH,78,0.0317460317460317,0.0992063492063492,0.1507936507936507,0.1613756613756613
